acceleration;frequency;boost;sensor;source_file;axis;source_filename;error_%;Optimal_k;new_error_%
0,1063724853;10;0.1;1;S;Y;1-s 10hz 0.1.csv;0,11;0,9516000000;0,0218581609
1,0478249797;10;1;1;S;Y;1-s 10hz 1.csv;0,85;0,9516000000;0,0516026664
2,6254009745;10;2.5;1;S;Y;1-s 10hz 2.5.csv;2,24;0,9516000000;0,0297934405
4,2021711253;10;4;1;S;Y;1-s 10hz 4.csv;3,61;0,9516000000;0,0216778065
5,8874347957;10;5.6;1;S;Y;1-s 10hz 5.6.csv;5,13;0,9516000000;0,0443384212
0,1133040798;16;0.1;1;S;Y;1-s 16hz 0.1.csv;0,24;0,9500000000;0,1364084966
1,0712325044;16;1;1;S;Y;1-s 16hz 1.csv;1,27;0,9500000000;0,3155514139
2,6596072623;16;2.5;1;S;Y;1-s 16hz 2.5.csv;2,85;0,9500000000;0,4754803426
4,2623322863;16;4;1;S;Y;1-s 16hz 4.csv;4,68;0,9500000000;0,8788512854
5,9728594013;16;5.6;1;S;Y;1-s 16hz 5.6.csv;6,66;0,9500000000;1,3252934149
0,1061584396;25;0.102;1;S;Y;1-s 25hz 0.102.csv;0,07;0,9565000000;0,0082045093
1,0491283488;25;1;1;S;Y;1-s 25hz 1.csv;0,88;0,9565000000;0,0623440291
2,6123813157;25;2.5;1;S;Y;1-s 25hz 2.5.csv;2,01;0,9565000000;0,0224512774
4,1823205210;25;4;1;S;Y;1-s 25hz 4.csv;3,26;0,9565000000;0,0069567560
5,8514038841;25;5.6;1;S;Y;1-s 25hz 5.6.csv;4,49;0,9565000000;0,0559318725
0,1024096335;32;0.098;1;S;Y;1-s 32hz 0.098.csv;0,08;1,0027000000;0,0836810627
1,0101862276;32;1;1;S;Y;1-s 32hz 1.csv;0,18;1,0027000000;0,2306023288
2,4924165819;32;2.5;1;S;Y;1-s 32hz 2.5.csv;0,14;1,0027000000;0,0152480952
3,9862844782;32;4;1;S;Y;1-s 32hz 4.csv;0,24;1,0027000000;0,0527241734
5,5720522295;32;5.6;1;S;Y;1-s 32hz 5.6.csv;0,5;1,0027000000;0,2304148121
0,1079427066;10;0.1;2;S;Y;2-s 10hz 0.1.csv;0,14;0,9500000000;0,0454566298
1,0566953528;10;1;2;S;Y;2-s 10hz 1.csv;1,01;0,9500000000;0,0689390207
2,6426934433;10;2.5;2;S;Y;2-s 10hz 2.5.csv;2,55;0,9500000000;0,1885494845
4,2318947787;10;4;2;S;Y;2-s 10hz 4.csv;4,14;0,9500000000;0,3625007101
5,9288026635;10;5.6;2;S;Y;2-s 10hz 5.6.csv;5,87;0,9500000000;0,5779023272
0,1139603862;16;0.1;2;S;Y;2-s 16hz 0.1.csv;0,25;0,9500000000;0,1475422659
1,0745154899;16;1;2;S;Y;2-s 16hz 1.csv;1,33;0,9500000000;0,3712449179
2,6589991572;16;2.5;2;S;Y;2-s 16hz 2.5.csv;2,84;0,9500000000;0,4651642739
4,2631515132;16;4;2;S;Y;2-s 16hz 4.csv;4,7;0,9500000000;0,8927488846
5,9705709174;16;5.6;2;S;Y;2-s 16hz 5.6.csv;6,62;0,9500000000;1,2864709202
0,1076265680;25;0.102;2;S;Y;2-s 25hz 0.102.csv;0,1;0,9500000000;0,0043792786
1,0583420561;25;1;2;S;Y;2-s 25hz 1.csv;1,04;0,9500000000;0,0968741660
2,6288235427;25;2.5;2;S;Y;2-s 25hz 2.5.csv;2,3;0,9500000000;0,0467434721
4,2098550115;25;4;2;S;Y;2-s 25hz 4.csv;3,75;0,9500000000;0,0113881978
5,8897145173;25;5.6;2;S;Y;2-s 25hz 5.6.csv;5,17;0,9500000000;0,0852001529
0,1029925442;32;0.098;2;S;Y;2-s 32hz 0.098.csv;0,09;0,9995000000;0,0882329987
1,0142946743;32;1;2;S;Y;2-s 32hz 1.csv;0,26;0,9995000000;0,2462058386
2,4988740636;32;2.5;2;S;Y;2-s 32hz 2.5.csv;0,02;0,9995000000;0,0424173827
3,9977354946;32;4;2;S;Y;2-s 32hz 4.csv;0,04;0,9995000000;0,0761316633
5,5891719009;32;5.6;2;S;Y;2-s 32hz 5.6.csv;0,19;0,9995000000;0,2432622330
